Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,6,0.91,0.91,0.501570798
100% Corpus,5,0.31,0.91,0.500068213
100% Corpus,9,0.01,0.31,0.499694606
100% Corpus,9,symmetric,0.31,0.496702508
100% Corpus,8,0.31,0.31,0.496651798
100% Corpus,8,0.01,0.31,0.495433275
100% Corpus,5,0.01,0.91,0.495178732
100% Corpus,8,0.91,0.91,0.495012416
100% Corpus,9,asymmetric,symmetric,0.494644678
100% Corpus,8,symmetric,0.31,0.494256477
100% Corpus,8,0.31,0.91,0.493649136
100% Corpus,10,0.91,0.91,0.491361724
100% Corpus,5,symmetric,0.61,0.49020968
100% Corpus,10,0.01,0.31,0.489138566
100% Corpus,7,0.01,0.61,0.488524007
100% Corpus,7,0.31,0.61,0.488245531
100% Corpus,9,asymmetric,0.31,0.486069472
100% Corpus,8,symmetric,0.91,0.485939895
100% Corpus,9,0.01,symmetric,0.481773506
100% Corpus,9,symmetric,0.91,0.481386958
100% Corpus,4,asymmetric,0.61,0.478920735
100% Corpus,5,symmetric,0.91,0.478601198
100% Corpus,8,symmetric,symmetric,0.478214824
100% Corpus,5,0.01,symmetric,0.477845562
100% Corpus,10,0.31,0.61,0.47627949
100% Corpus,6,0.31,0.91,0.476180592
100% Corpus,9,0.91,0.91,0.476131494
100% Corpus,8,asymmetric,symmetric,0.475841877
100% Corpus,9,0.61,0.61,0.475051143
100% Corpus,6,0.31,0.61,0.474282779
100% Corpus,6,0.61,0.91,0.473038898
100% Corpus,8,0.61,0.61,0.472938197
100% Corpus,8,0.91,0.61,0.471588672
100% Corpus,10,asymmetric,0.31,0.471483592
100% Corpus,7,0.61,0.61,0.468951802
100% Corpus,9,0.31,0.61,0.468833412
100% Corpus,8,0.61,0.91,0.467222636
100% Corpus,7,asymmetric,symmetric,0.467199167
100% Corpus,9,0.31,0.31,0.466719328
100% Corpus,5,0.61,0.91,0.466662305
100% Corpus,10,symmetric,symmetric,0.466370135
100% Corpus,4,asymmetric,0.91,0.465678153
100% Corpus,8,asymmetric,0.31,0.464226674
100% Corpus,7,0.61,0.91,0.462802731
100% Corpus,5,0.01,0.31,0.462700646
100% Corpus,10,0.01,symmetric,0.461411788
100% Corpus,10,0.61,0.61,0.461275818
100% Corpus,7,asymmetric,0.31,0.460916307
100% Corpus,3,asymmetric,0.91,0.459194432
100% Corpus,10,asymmetric,symmetric,0.4591115
100% Corpus,5,0.91,0.91,0.458460141
100% Corpus,8,symmetric,0.61,0.457715617
100% Corpus,5,0.01,0.61,0.456282631
100% Corpus,6,asymmetric,0.31,0.456233294
100% Corpus,5,0.31,0.61,0.456138315
100% Corpus,10,0.31,0.31,0.455261793
100% Corpus,6,0.61,0.61,0.454488536
100% Corpus,4,asymmetric,0.31,0.453602718
100% Corpus,9,0.01,0.91,0.452534072
100% Corpus,9,0.31,0.91,0.45245362
100% Corpus,6,symmetric,0.91,0.452345179
100% Corpus,7,0.31,0.91,0.451973093
100% Corpus,10,symmetric,0.31,0.451435742
100% Corpus,9,symmetric,symmetric,0.451326895
100% Corpus,7,symmetric,0.31,0.447427852
100% Corpus,7,symmetric,symmetric,0.447329375
100% Corpus,5,asymmetric,0.91,0.447227959
100% Corpus,6,0.31,0.31,0.446631558
100% Corpus,6,symmetric,0.61,0.445554845
100% Corpus,9,0.91,0.61,0.44498745
100% Corpus,7,0.01,0.31,0.444885194
100% Corpus,6,asymmetric,0.91,0.444107534
100% Corpus,3,asymmetric,0.61,0.443251572
100% Corpus,7,symmetric,0.61,0.442903905
100% Corpus,9,0.61,0.31,0.442261602
100% Corpus,9,symmetric,0.61,0.441972699
100% Corpus,10,0.61,0.31,0.441842893
100% Corpus,5,symmetric,symmetric,0.440814483
